1.018, -1.958
1.055, -1.825
1.026, -1.720
1.124, -1.751
1.151, -1.634
1.262, -1.692
1.308, -1.554
1.292, -1.507
1.377, -1.416
1.485, -1.437
1.533, -1.315
1.560, -1.215
1.693, -1.241
1.693, -1.198
1.699, -1.135
1.877, -1.108
2.008, -1.229
1.899, -0.933
2.140, -1.022
2.174, -0.954
2.098, -0.938
2.106, -0.801
2.131, -0.837
2.449, -0.948
2.589, -0.931
2.459, -0.826
2.770, -0.741
2.837, -0.857
3.071, -0.793
3.121, -0.735
3.299, -0.740
3.234, -0.851
3.247, -0.893
3.761, -0.866
4.024, -0.966
4.008, -1.029
4.624, -1.345
4.831, -1.271
5.006, -1.678
6.010, -1.396
6.879, -1.634
8.000, -1.781
8.032, -1.992
8.941, -2.065
9.012, -2.187
2.518, -0.889
